,Insider Trading,Relationship,Date,Transaction,Cost,#Shares,Value ($),#Shares Total,SEC Form 4,Insider_id,Ticker
10,OSBORN WILLIAM A,Director,2020-11-24,Option Exercise,43.64,21448.0,935991.0,79745.0,Nov 25 05:41 PM,1171797,ABT
11,Funck Robert E,Executive Vice President & CFO,2020-10-26,Option Exercise,38.4,83333.0,3199987.0,265550.0,Oct 28 06:33 PM,1565892,ABT
12,Funck Robert E,Executive Vice President & CFO,2020-10-26,Sale,108.83,83333.0,9068955.0,182217.0,Oct 28 06:33 PM,1565892,ABT
13,Wainer Andrea F,Executive Vice President,2020-09-30,Option Exercise,38.4,30000.0,1152000.0,74080.0,Oct 01 05:50 PM,1778070,ABT
14,Wainer Andrea F,Executive Vice President,2020-09-30,Sale,107.01,30000.0,3210360.0,44080.0,Oct 01 05:50 PM,1778070,ABT
15,Wainer Andrea F,Executive Vice President,2020-09-23,Sale,102.47,3650.0,374031.0,44080.0,Sep 25 05:06 PM,1778070,ABT
16,WOODGRIFT RANDEL WILLIAM,Senior Vice President,2020-09-11,Sale,105.28,2500.0,263200.0,46267.0,Sep 15 06:14 PM,1204554,ABT
17,Ginascol John F,Executive Vice President,2020-09-01,Option Exercise,43.16,72098.0,3111584.0,136775.0,Sep 03 06:33 PM,1778075,ABT
18,BIRD ROGER,Senior Vice President,2020-09-01,Sale,108.73,6290.0,683929.0,56630.0,Sep 03 05:52 PM,1635313,ABT
19,CAPEK JOHN M,Executive Vice President,2020-08-27,Option Exercise,27.03,52300.0,1413857.0,369100.0,Aug 31 06:27 PM,1328034,ABT
20,Salvadori Daniel Gesua Sive,Executive Vice President,2020-08-27,Option Exercise,47.0,42479.0,1996513.0,144912.0,Aug 31 06:28 PM,1620564,ABT
21,CAPEK JOHN M,Executive Vice President,2020-08-27,Sale,111.86,52300.0,5850278.0,316800.0,Aug 31 06:27 PM,1328034,ABT
22,Salvadori Daniel Gesua Sive,Executive Vice President,2020-08-27,Sale,111.86,42479.0,4751701.0,102433.0,Aug 31 06:28 PM,1620564,ABT
23,NOVAKOVIC PHEBE N,Director,2020-07-23,Option Exercise,25.05,3739.0,93677.0,32046.0,Jul 27 05:06 PM,1222195,ABT
24,NOVAKOVIC PHEBE N,Director,2020-07-23,Sale,100.78,933.0,94026.0,31113.0,Jul 27 05:06 PM,1222195,ABT
25,AUSTIN ROXANNE S,Director,2020-07-22,Sale,99.8,6844.0,683038.0,40043.0,Jul 23 05:07 PM,1061632,ABT
26,PEDERSON MICHAEL J,Senior Vice President,2020-07-21,Option Exercise,0.0,23008.0,0.0,96899.0,Jul 23 05:04 PM,1712233,ABT
27,PEDERSON MICHAEL J,Senior Vice President,2020-07-21,Sale,98.0,23008.0,2254784.0,73891.0,Jul 23 05:04 PM,1712233,ABT
28,Earnhardt Lisa D,Executive Vice President,2020-06-10,Sale,90.84,872.0,79216.0,72074.0,Jun 12 05:07 PM,1530893,ABT
29,LANE ANDREW H,Executive Vice President,2020-05-05,Option Exercise,43.82,80000.0,3505314.0,145822.0,May 07 05:02 PM,1643735,ABT
30,LANE ANDREW H,Executive Vice President,2020-05-05,Sale,92.0,80000.0,7360104.0,65822.0,May 07 05:02 PM,1643735,ABT
31,WOODGRIFT RANDEL WILLIAM,Senior Vice President,2020-04-28,Sale,93.18,3724.0,347012.0,48767.0,Apr 30 06:34 PM,1204554,ABT
32,CAPEK JOHN M,Executive Vice President,2020-04-21,Option Exercise,22.39,50100.0,1121834.0,366900.0,Apr 23 09:34 PM,1328034,ABT
33,Ginascol John F,Executive Vice President,2020-04-21,Option Exercise,38.4,63200.0,2426880.0,129645.0,Apr 23 09:41 PM,1778075,ABT
34,Funck Robert E,Executive Vice President & CFO,2020-04-21,Option Exercise,36.42,36700.0,1336638.0,206072.0,Apr 23 09:27 PM,1565892,ABT
35,Contreras Jaime,Senior Vice President,2020-04-21,Option Exercise,57.12,108412.0,6192995.0,145431.0,Apr 23 09:26 PM,1587070,ABT
36,Scoggins Christopher J,Senior Vice President,2020-04-21,Sale,96.1,414.0,39785.0,39706.0,Apr 23 09:28 PM,1772286,ABT
37,Ginascol John F,Executive Vice President,2020-04-21,Sale,96.0,63200.0,6067051.0,66445.0,Apr 23 09:41 PM,1778075,ABT
38,CAPEK JOHN M,Executive Vice President,2020-04-21,Sale,95.87,50100.0,4803326.0,316800.0,Apr 23 09:34 PM,1328034,ABT
39,Boudreau Philip P,Vice President,2020-03-13,Sale,82.0,10600.0,869200.0,22463.0,Mar 16 06:47 PM,1805099,ABT
40,Watkin Jared,Senior Vice President,2020-03-06,Sale,82.0,8248.0,676336.0,68696.0,Mar 10 05:06 PM,1645118,ABT
41,Funck Robert E,Executive Vice President & CFO,2020-03-02,Sale,77.89,1356.0,105619.0,169372.0,Mar 03 05:28 PM,1565892,ABT
42,WOODGRIFT RANDEL WILLIAM,Senior Vice President,2020-03-02,Sale,77.89,1420.0,110604.0,53859.0,Mar 03 05:27 PM,1204554,ABT
43,BIRD ROGER,Senior Vice President,2020-03-02,Sale,77.89,666.0,51875.0,62920.0,Mar 03 05:23 PM,1635313,ABT
44,DALE MICHAEL D,Senior Vice President,2020-03-02,Sale,77.89,787.0,61299.0,34763.0,Mar 03 05:21 PM,1172346,ABT
45,Ginascol John F,Executive Vice President,2020-03-02,Sale,77.63,6606.0,512805.0,66445.0,Mar 03 05:20 PM,1778075,ABT
46,Contreras Jaime,Senior Vice President,2020-03-02,Sale,77.89,2001.0,155858.0,37019.0,Mar 03 05:19 PM,1587070,ABT
47,Watkin Jared,Senior Vice President,2020-03-02,Sale,77.89,1761.0,137164.0,76944.0,Mar 03 05:19 PM,1645118,ABT
48,ALLEN HUBERT L,Executive Vice President,2020-03-02,Sale,77.89,1208.0,94091.0,151896.0,Mar 03 05:16 PM,1565916,ABT
49,Scoggins Christopher J,Senior Vice President,2020-03-02,Sale,77.89,1240.0,96584.0,41168.0,Mar 03 05:15 PM,1772286,ABT
50,Salvadori Daniel Gesua Sive,Executive Vice President,2020-03-02,Sale,77.89,999.0,77812.0,103493.0,Mar 03 05:16 PM,1620564,ABT
51,BRYNELSEN CHARLES,Senior Vice President,2020-03-02,Sale,77.89,1781.0,138722.0,45460.0,Mar 03 05:13 PM,1712459,ABT
52,Wainer Andrea F,Executive Vice President,2020-03-02,Sale,77.89,1429.0,111305.0,49498.0,Mar 03 05:10 PM,1778070,ABT
53,Moreland Mary K,Executive Vice President,2021-02-25,Sale,84.93,400.0,33972.0,66131.0,Feb 25 05:29 PM,1783147,ABT
54,Moreland Mary K,Executive Vice President,2021-02-19,Sale,88.97,1019.0,90660.0,52985.0,Feb 19 05:53 PM,1783147,ABT
55,DALE MICHAEL D,Senior Vice President,2021-02-19,Sale,88.97,396.0,35232.0,23947.0,Feb 19 05:53 PM,1172346,ABT
0,Stewart Jeffrey Ryan,"EVP, Commercial Operations",2020-12-29,Option Exercise,51.42,25290.0,1300412.0,76259.0,Dec 31 01:15 PM,1761675,ABBV
1,Stewart Jeffrey Ryan,"EVP, Commercial Operations",2020-12-29,Sale,105.0,25290.0,2655450.0,50969.0,Dec 31 01:15 PM,1761675,ABBV
2,RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2020-11-27,Option Exercise,51.42,51990.0,2673326.0,51990.0,Dec 01 05:22 PM,1563523,ABBV
3,RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2020-11-27,Sale,105.0,51990.0,5458950.0,0.0,Dec 01 05:22 PM,1563523,ABBV
4,Gosebruch Henry O,"EVP, Chief Strategy Officer",2020-11-20,Sale,99.38,40000.0,3975046.0,20006.0,Nov 24 05:34 PM,1659625,ABBV
5,ALBAN CARLOS,Vice Chairman,2020-11-16,Option Exercise,35.88,115830.0,4155980.0,230729.0,Nov 18 05:04 PM,1474632,ABBV
6,ALBAN CARLOS,Vice Chairman,2020-11-16,Sale,100.0,115830.0,11583000.0,114899.0,Nov 18 05:04 PM,1474632,ABBV
7,GONZALEZ RICHARD A,Chairman of the Board and CEO,2020-11-12,Option Exercise,57.12,194154.0,11089858.0,512796.0,Nov 12 05:54 PM,1239127,ABBV
8,GONZALEZ RICHARD A,Chairman of the Board and CEO,2020-11-12,Sale,97.1,194154.0,18851790.0,318642.0,Nov 12 05:54 PM,1239127,ABBV
9,SALEKI-GERHARDT AZITA,"EVP, Operations",2020-11-10,Sale,98.0,17426.0,1707748.0,96441.0,Nov 12 05:56 PM,1563545,ABBV
10,GONZALEZ RICHARD A,Chairman of the Board and CEO,2020-11-09,Sale,95.74,37450.0,3585463.0,318642.0,Nov 12 05:54 PM,1239127,ABBV
11,SALEKI-GERHARDT AZITA,"EVP, Operations",2020-11-04,Sale,93.61,4800.0,449328.0,109067.0,Nov 06 04:29 PM,1563545,ABBV
12,SEVERINO MICHAEL,Vice Chairman,2020-11-04,Sale,93.61,90679.0,8488461.0,67281.0,Nov 06 04:29 PM,1609447,ABBV
13,ALBAN CARLOS,Vice Chairman,2020-07-07,Sale,100.0,53325.0,5332555.0,114899.0,Jul 08 09:19 PM,1474632,ABBV
14,Stewart Jeffrey Ryan,"SVP, US Commercial Operations",2020-05-12,Sale,90.0,23024.0,2072211.0,52760.0,May 12 05:44 PM,1761675,ABBV
15,RICHMOND TIMOTHY J.,"EVP, Chief HR Officer",2020-05-05,Sale,85.0,19445.0,1652825.0,0.0,May 07 05:01 PM,1563523,ABBV
16,Durkin Brian L,"VP, Controller",2020-03-30,Buy,69.0,750.0,51750.0,16844.0,Mar 20 04:56 PM,1756865,ABBV
17,Durkin Brian L,"VP, Controller",2020-03-20,Buy,67.5,800.0,54000.0,16094.0,Mar 20 04:56 PM,1756865,ABBV
18,Durkin Brian L,"VP, Controller",2020-03-18,Buy,68.18,2200.0,150005.0,15294.0,Mar 20 04:56 PM,1756865,ABBV
19,RAPP EDWARD J,Director,2020-03-03,Buy,87.87,2875.0,252617.0,2875.0,Mar 04 05:14 PM,1171780,ABBV
0,PUHY DOROTHY E,Director,2021-02-01,Sale,349.47,5000.0,1747347.0,2869.0,Feb 03 05:03 PM,1200493,ABMD
1,Greenfield Andrew J,"VP, Chief Commercial Officer",2021-01-28,Option Exercise,66.25,5000.0,331250.0,36930.0,Feb 01 05:14 PM,1372715,ABMD
2,Greenfield Andrew J,"VP, Chief Commercial Officer",2021-01-28,Sale,366.0,5000.0,1830000.0,31930.0,Feb 01 05:14 PM,1372715,ABMD
3,Greenfield Andrew J,"VP, Chief Commercial Officer",2020-12-29,Sale,321.0,5000.0,1605000.0,26930.0,Dec 31 04:03 PM,1372715,ABMD
4,Greenfield Andrew J,"VP, Chief Commercial Officer",2020-12-22,Sale,296.67,1682.0,498997.0,31930.0,Dec 23 04:04 PM,1372715,ABMD
5,Greenfield Andrew J,"VP, Chief Commercial Officer",2020-12-21,Sale,295.63,5474.0,1618279.0,33612.0,Dec 23 04:04 PM,1372715,ABMD
6,SUTTER MARTIN P,Director,2020-11-18,Sale,268.34,750.0,201255.0,184010.0,Nov 19 06:16 PM,1017832,ABMD
7,SUTTER MARTIN P,Director,2020-11-17,Sale,269.53,750.0,202148.0,184760.0,Nov 19 06:16 PM,1017832,ABMD
8,MINOGUE MICHAEL R,"Chairman, President, CEO",2020-08-21,Option Exercise,22.44,40000.0,897600.0,250746.0,Aug 24 05:45 PM,1286370,ABMD
9,MINOGUE MICHAEL R,"Chairman, President, CEO",2020-08-21,Sale,306.33,40000.0,12253177.0,210746.0,Aug 24 05:45 PM,1286370,ABMD
10,MINOGUE MICHAEL R,"Chairman, President, CEO",2020-08-20,Option Exercise,22.44,60000.0,1346400.0,270746.0,Aug 24 05:45 PM,1286370,ABMD
11,MINOGUE MICHAEL R,"Chairman, President, CEO",2020-08-20,Sale,310.98,60000.0,18658744.0,210746.0,Aug 24 05:45 PM,1286370,ABMD
12,SUTTER MARTIN P,Director,2020-08-19,Sale,312.38,750.0,234285.0,186260.0,Aug 20 04:40 PM,1017832,ABMD
13,SUTTER MARTIN P,Director,2020-08-18,Sale,311.99,750.0,233993.0,187760.0,Aug 20 04:40 PM,1017832,ABMD
14,THOMAS PAUL,Director,2020-08-10,Sale,303.41,2000.0,606820.0,6530.0,Aug 11 04:07 PM,1166776,ABMD
15,PUHY DOROTHY E,Director,2020-07-15,Sale,275.0,7500.0,2062500.0,7652.0,Jul 17 04:02 PM,1200493,ABMD
16,PUHY DOROTHY E,Director,2020-06-05,Sale,250.0,7500.0,1875000.0,15152.0,Jun 09 04:04 PM,1200493,ABMD
17,SUTTER MARTIN P,Director,2020-05-04,Option Exercise,9.99,12000.0,119880.0,200939.0,May 06 04:02 PM,1017832,ABMD
18,SUTTER MARTIN P,Director,2020-05-04,Sale,180.58,12000.0,2166928.0,188939.0,May 06 04:02 PM,1017832,ABMD
19,THOMAS PAUL,Director,2020-03-02,Sale,151.78,2000.0,303561.0,8920.0,Mar 04 04:23 PM,1166776,ABMD
20,THOMAS PAUL,Director,2021-02-10,Sale,181.13,2000.0,362250.0,10920.0,Feb 12 05:14 PM,1166776,ABMD
0,ROWLAND DAVID,Executive Chairman,2021-02-03,Sale,248.51,7966.0,1979635.0,40.0,Feb 04 04:25 PM,1580655,ACN
1,McClure Kathleen R,Chief Financial Officer,2021-02-03,Sale,248.55,1627.0,404386.0,21496.0,Feb 04 04:23 PM,1764707,ACN
2,CLARK RICHARD P,Chief Accounting Officer,2021-02-03,Sale,248.63,3247.0,807295.0,11062.0,Feb 04 04:22 PM,1583916,ACN
3,Etheredge James O,Chief Exec-North America,2021-02-03,Sale,248.54,2428.0,603446.0,2648.0,Feb 04 04:22 PM,1786092,ACN
4,Accenture plc,Director by Deputization,2021-02-02,Sale,44.39,4104000.0,182176560.0,21071302.0,Feb 04 04:29 PM,1467373,ACN
5,Shook Ellyn,Chief Leadership & HR Officer,2021-01-22,Sale,255.4,2600.0,664041.0,23472.0,Jan 25 04:11 PM,1600370,ACN
6,McClure Kathleen R,Chief Financial Officer,2021-01-20,Sale,259.4,724.0,187806.0,23937.0,Jan 21 08:55 AM,1764707,ACN
7,Sweet Julie Spellman,Chief Executive Officer,2021-01-19,Sale,255.88,2800.0,716459.0,24648.0,Jan 21 08:56 AM,1487630,ACN
8,Unruch Joel,General Counsel/Corp Secretary,2021-01-19,Sale,255.79,986.0,252211.0,26903.0,Jan 21 08:57 AM,1783059,ACN
9,CLARK RICHARD P,Chief Accounting Officer,2021-01-19,Sale,255.85,3115.0,796973.0,15894.0,Jan 21 08:55 AM,1583916,ACN
10,McClure Kathleen R,Chief Financial Officer,2021-01-19,Sale,256.89,274.0,70388.0,24661.0,Jan 21 08:55 AM,1764707,ACN
11,Etheredge James O,Chief Exec-North America,2021-01-15,Sale,254.1,3854.0,979290.0,6310.0,Jan 19 08:47 AM,1786092,ACN
12,Ollagnier Jean-Marc,Chief Executive - Europe,2021-01-15,Sale,254.17,4157.0,1056594.0,178553.0,Jan 19 08:48 AM,1514393,ACN
13,Ollagnier Jean-Marc,Chief Executive - Europe,2020-12-21,Sale,260.79,1657.0,432124.0,178161.0,Dec 22 04:11 PM,1514393,ACN
14,ROWLAND DAVID,Executive Chairman,2020-12-21,Sale,260.82,6357.0,1658027.0,40.0,Dec 22 04:12 PM,1580655,ACN
15,Etheredge James O,Chief Exec-North America,2020-12-21,Sale,260.84,10847.0,2829379.0,5282.0,Dec 22 04:11 PM,1786092,ACN
16,Accenture plc,Director by Deputization,2020-11-24,Sale,39.77,480000.0,19089600.0,25175302.0,Nov 25 08:34 AM,1467373,ACN
17,Accenture plc,Director by Deputization,2020-11-13,Sale,39.77,3200000.0,127264000.0,25655302.0,Nov 17 05:02 PM,1467373,ACN
18,ROWLAND DAVID,Executive Chairman,2020-11-02,Sale,220.42,8723.0,1922746.0,6357.0,Nov 03 04:08 PM,1580655,ACN
19,Shook Ellyn,Chief Leadership & HR Officer,2020-10-23,Sale,227.74,5000.0,1138694.0,18101.0,Oct 27 08:31 AM,1600370,ACN
20,Unruch Joel,General Counsel/Corp Secretary,2020-10-23,Sale,227.75,1096.0,249613.0,23608.0,Oct 27 08:32 AM,1783059,ACN
21,Etheredge James O,Chief Exec-North America,2020-10-19,Sale,229.24,1670.0,382835.0,14270.0,Oct 20 06:03 PM,1786092,ACN
22,McClure Kathleen R,Chief Financial Officer,2020-10-19,Sale,230.2,2250.0,517941.0,18164.0,Oct 20 06:03 PM,1764707,ACN
23,Ollagnier Jean-Marc,Chief Executive - Europe,2020-10-19,Sale,230.29,3684.0,848388.0,179669.0,Oct 20 06:03 PM,1514393,ACN
24,ROWLAND DAVID,Executive Chairman,2020-10-19,Sale,229.3,10938.0,2508134.0,15080.0,Oct 20 06:04 PM,1580655,ACN
25,Deblaere Johan,Chief Operating Officer,2020-10-19,Sale,230.27,3000.0,690809.0,59662.0,Oct 20 06:02 PM,1471431,ACN
26,Sweet Julie Spellman,Chief Executive Officer,2020-10-16,Sale,230.57,9228.0,2127704.0,10605.0,Oct 20 06:04 PM,1487630,ACN
27,Casati Gianfranco,CEO-Growth Markets,2020-10-16,Sale,230.58,17855.0,4116928.0,26014.0,Oct 20 06:02 PM,1374850,ACN
28,CLARK RICHARD P,Chief Accounting Officer,2020-10-16,Sale,230.59,1847.0,425899.0,10491.0,Oct 20 06:02 PM,1583916,ACN
29,RENDUCHINTALA VENKATA S M,Director,2020-09-29,Sale,223.01,1283.0,286127.0,3358.0,Sep 30 04:22 PM,1559658,ACN
30,Ollagnier Jean-Marc,Chief Executive - Europe,2020-09-28,Sale,222.29,450.0,100031.0,171087.0,Sep 29 04:17 PM,1514393,ACN
31,Shook Ellyn,Chief Leadership & HR Officer,2020-07-21,Sale,224.03,3725.0,834496.0,18097.0,Jul 22 06:32 AM,1600370,ACN
32,CLARK RICHARD P,Chief Accounting Officer,2020-07-20,Sale,222.63,21.0,4675.0,10178.0,Jul 22 06:35 AM,1583916,ACN
33,Unruch Joel,General Counsel/Corp Secretary,2020-07-20,Sale,222.55,1124.0,250142.0,23166.0,Jul 22 06:34 AM,1783059,ACN
34,Deblaere Johan,Chief Operating Officer,2020-07-20,Sale,222.47,3000.0,667413.0,56872.0,Jul 22 06:34 AM,1471431,ACN
35,Ollagnier Jean-Marc,Chief Executive - Europe,2020-07-20,Sale,222.44,3773.0,839267.0,171408.0,Jul 22 06:35 AM,1514393,ACN
36,Sweet Julie Spellman,Chief Executive Officer,2020-07-20,Sale,222.54,3053.0,679411.0,10171.0,Jul 22 06:33 AM,1487630,ACN
37,McClure Kathleen R,Chief Financial Officer,2020-07-20,Sale,222.44,2250.0,500479.0,20085.0,Jul 22 06:33 AM,1764707,ACN
38,Shook Ellyn,Chief Leadership & HR Officer,2020-06-29,Sale,212.27,2501.0,530892.0,21710.0,Jun 30 09:04 AM,1600370,ACN
39,McClure Kathleen R,Chief Financial Officer,2020-06-29,Sale,212.15,1125.0,238669.0,22223.0,Jun 30 09:04 AM,1764707,ACN
40,Ollagnier Jean-Marc,Chief Executive - Europe,2020-06-29,Sale,211.72,949.0,200922.0,175123.0,Jun 30 09:04 AM,1514393,ACN
41,ROWLAND DAVID,Executive Chairman,2020-05-04,Sale,178.63,2119.0,378514.0,15080.0,May 05 04:49 PM,1580655,ACN
42,Shook Ellyn,Chief Leadership & HR Officer,2020-04-29,Sale,185.0,1251.0,231435.0,23927.0,Apr 29 04:59 PM,1600370,ACN
43,McClure Kathleen R,Chief Financial Officer,2020-04-29,Sale,185.0,1125.0,208125.0,23085.0,Apr 29 04:58 PM,1764707,ACN
44,ROWLAND DAVID,Executive Chairman,2020-04-29,Sale,185.0,5405.0,999925.0,17199.0,Apr 29 04:59 PM,1580655,ACN
45,Casati Gianfranco,CEO-Growth Markets,2020-04-27,Sale,180.0,3682.0,662760.0,26014.0,Apr 29 08:54 AM,1374850,ACN
46,Shook Ellyn,Chief Leadership & HR Officer,2020-04-23,Sale,175.0,1251.0,218925.0,25178.0,Apr 23 05:54 PM,1600370,ACN
47,ROWLAND DAVID,Executive Chairman,2020-04-20,Sale,175.34,34.0,5961.0,22604.0,Apr 22 04:11 PM,1580655,ACN
48,Unruch Joel,General Counsel/Corp Secretary,2020-04-20,Sale,175.18,855.0,149777.0,23957.0,Apr 22 04:11 PM,1783059,ACN
49,Deblaere Johan,Chief Operating Officer,2020-04-20,Sale,175.26,3000.0,525774.0,59869.0,Apr 22 04:10 PM,1471431,ACN
50,Ollagnier Jean-Marc,Chief Executive - Europe,2020-04-20,Sale,175.21,4499.0,788287.0,175927.0,Apr 22 04:11 PM,1514393,ACN
0,Wasserman Casey,Director,2020-12-04,Sale,80.75,10000.0,807540.0,21712.0,Dec 08 07:01 PM,1647938,ATVI
1,KELLY BRIAN G,Director,2020-11-04,Sale,78.91,75000.0,5918603.0,574721.0,Nov 04 08:26 PM,1091425,ATVI
2,KELLY BRIAN G,Director,2020-11-03,Sale,76.65,100000.0,7665240.0,649721.0,Nov 04 08:26 PM,1091425,ATVI
3,KELLY BRIAN G,Director,2020-11-02,Sale,76.65,200000.0,15329980.0,749721.0,Nov 04 08:26 PM,1091425,ATVI
4,Wasserman Casey,Director,2020-08-31,Sale,83.09,2.0,166.0,0.0,Sep 02 07:03 PM,1647938,ATVI
5,Durkin Dennis M,Chief Financial Officer,2020-08-27,Option Exercise,11.73,50000.0,586500.0,442096.0,Aug 31 07:01 PM,1543789,ATVI
6,Durkin Dennis M,Chief Financial Officer,2020-08-27,Sale,83.51,50000.0,4175480.0,392096.0,Aug 31 07:01 PM,1543789,ATVI
7,YANG JESSE,Chief Accounting Officer,2020-08-14,Buy,80.0,1000.0,80000.0,26947.0,Aug 18 07:02 PM,1811303,ATVI
8,Macartney Claudine,Chief People Officer,2020-08-06,Sale,86.06,12902.0,1110353.0,54740.0,Aug 10 07:07 PM,1712088,ATVI
9,YANG JESSE,Chief Accounting Officer,2020-05-27,Buy,68.52,400.0,27406.0,900.0,May 29 07:04 PM,1811303,ATVI
10,YANG JESSE,Chief Accounting Officer,2020-05-19,Buy,73.0,500.0,36500.0,500.0,May 21 07:01 PM,1811303,ATVI
